ID_Registro_Fundo;ID_Registro_Classe;CNPJ_Classe;Codigo_CVM;Data_Registro;Data_Constituicao;Data_Inicio;Tipo_Classe;Denominacao_Social;Situacao;Data_Inicio_Situacao;Classificacao;Indicador_Desempenho;Classe_Cotas;Classificacao_Anbima;Tributacao_Longo_Prazo;Entidade_Investimento;Permitido_Aplicacao_CemPorCento_Exterior;Classe_ESG;Forma_Condominio;Exclusivo;Publico_Alvo;Patrimonio_Liquido;Data_Patrimonio_Liquido;CNPJ_Auditor;Auditor;CNPJ_Custodiante;Custodiante;CNPJ_Controlador;Controlador
55291;7146;27036368000166;160199;2025-04-14;2025-04-14;2025-04-14;Classes de Cotas de Fundos FIF;CRODO FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RENDA FIXA;Em Funcionamento Normal;2025-04-14;Renda Fixa;Não se aplica;N;Renda Fixa Duração Livre Crédito Livre;;;N;N;Aberto;S;Profissional;47034826.60;2026-09-02;61562112000120;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;30306294000145;BANCO BTG PACTUAL S/A;59281253000123;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
55323;7157;27146983000125;252387;2025-04-14;2025-04-14;2025-04-14;Classes de Cotas de Fundos FIF;SAFRA INFRAESTRUTURA VIP FIF INV EM INFRAESTRUTURA CIC DE INV EM INFRA RF LONGO PRAZO RESP LIMITADA;Em Funcionamento Normal;2025-04-14;Renda Fixa;Índice de Mercado Andima NTN-B até 5 anos;S;Multimercados Estrat. Específica;S;;N;N;Aberto;N;Público Geral;80373091.93;2026-09-02;61562112000120;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;58160789000128;BANCO SAFRA S/A;58160789000128;BANCO SAFRA S/A
55324;7158;27146997000149;252395;2025-04-14;2025-04-14;2025-04-14;Classes de Cotas de Fundos FIF;SAFRA INFRAESTRUTURA PREMIUM FIF INV EM INFRA CIC DE INV EM INFRA RF LONGO PRAZO RESP LIMITADA;Em Funcionamento Normal;2025-04-14;Renda Fixa;Índice de Mercado Andima NTN-B até 5 anos;S;Multimercados Estrat. Específica;S;;N;N;Aberto;N;Público Geral;83794529.95;2026-09-02;61562112000120;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;58160789000128;BANCO SAFRA S/A;58160789000128;BANCO SAFRA S/A
55326;7159;27147055000185;252409;2025-04-24;2025-04-24;2025-04-24;Classes de Cotas de Fundos FIF;RAMU FUNDO DE INVESTIMENTO FINANCEIRO INVESTIMENTO EM INFRAESTRUTURA CIC DE INV EM INFRA RENDA FIXA;Em Funcionamento Normal;2025-04-24;Renda Fixa;DI de um dia;S;Renda Fixa Duração Livre Crédito Livre;;;N;N;Aberto;S;Profissional;31972273.62;2026-09-02;61562112000120;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;58160789000128;BANCO SAFRA S/A;58160789000128;BANCO SAFRA S/A
55346;7166;27202414000150;252425;2025-04-14;2025-04-14;2025-04-14;Classes de Cotas de Fundos FIF;SAFRA INFRAESTRUTURA MAX FIF INV EM INFRAESTRUTURA CIC DE INV EM INFRA RF LONGO PRAZO RESP LIMITADA;Em Funcionamento Normal;2025-04-14;Renda Fixa;Índice de Mercado Andima NTN-B até 5 anos;S;Renda Fixa Duração Livre Crédito Livre;S;;N;N;Aberto;N;Público Geral;31373350.80;2026-09-02;61562112000120;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;58160789000128;BANCO SAFRA S/A;58160789000128;BANCO SAFRA S/A
55593;7260;27565982000115;252700;2025-06-26;2025-06-26;2025-06-26;Classes de Cotas de Fundos FIF;PRECIOSO FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RENDA FIXA;Em Funcionamento Normal;2025-06-26;Renda Fixa;OUTROS;N;Renda Fixa Duração Livre Crédito Livre;;;N;N;Aberto;S;Profissional;32224305.90;2026-09-02;61366936000125;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;30306294000145;BANCO BTG PACTUAL S/A;59281253000123;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
55679;7300;27696698000188;131393;2024-12-02;2017-06-30;2024-12-02;Classes de Cotas de Fundos FIF;G5 FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RENDA FIXA;Em Funcionamento Normal;2024-12-02;Renda Fixa;Não se aplica;S;Renda Fixa Duração Livre Crédito Livre;;;N;N;Aberto;N;Qualificado;308141508.63;2026-09-02;57755217000129;KPMG AUDITORES INDEPENDENTES LTDA.;30306294000145;BANCO BTG PACTUAL S/A;59281253000123;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
55691;7307;27717045000138;138541;2025-03-26;2017-06-08;2025-03-26;Classes de Cotas de Fundos FIF;RB VITÓRIA FIC DE FUNDOS INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RENDA FIXA - RL;Em Funcionamento Normal;2025-03-26;Renda Fixa;DI de um dia;S;Renda Fixa Duração Livre Crédito Livre;;;N;N;Aberto;N;Público Geral;101899586.94;2026-09-02;57755217000129;KPMG AUDITORES INDEPENDENTES LTDA.;42272526000170;BNY MELLON BANCO S.A.;02201501000161;BNY MELLON SERVICOS FINANCEIROS DTVM S.A.
55749;7329;27782888000118;252794;2025-04-14;2025-04-14;2025-04-14;Classes de Cotas de Fundos FIF;SAFRA INFRAESTRUTURA PREMIUM PROFISSIONAL FIF INV EM INFRAESTRUTURA CI EM INFRA RF RESP LIMITADA;Em Funcionamento Normal;2025-04-14;Renda Fixa;Índice de Mercado Andima NTN-B até 5 anos;N;Multimercados Estrat. Específica;;;N;N;Aberto;N;Profissional;26857930.34;2026-09-02;61562112000120;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;58160789000128;BANCO SAFRA S/A;58160789000128;BANCO SAFRA S/A
55752;7330;27782944000114;252808;2025-04-14;2025-04-14;2025-04-14;Classes de Cotas de Fundos FIF;SAFRA INFRAESTRUTURA PROFIT FIF INV EM INFRA CIC DE INV EM INFRA RF LONGO PRAZO RESP LIMITADA;Em Funcionamento Normal;2025-04-14;Renda Fixa;Índice de Mercado Andima NTN-B até 5 anos;S;Multimercados Estrat. Específica;S;;N;N;Aberto;N;Público Geral;10774951.45;2026-09-02;61562112000120;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;58160789000128;BANCO SAFRA S/A;58160789000128;BANCO SAFRA S/A
55979;7425;28025408000137;236764;2025-06-24;2025-06-24;2025-06-24;Classes de Cotas de Fundos FIF;BB RENDA FIXA INCENTIVADO FIC FIF INVESTIMENTO EM INFRAESTRUTURA PRIVATE RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-06-24;Renda Fixa;OUTROS;S;Renda Fixa Duração Livre Crédito Livre;N;;N;N;Aberto;N;Público Geral;169841507.58;2026-09-02;61562112000120;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;00000000000191;BANCO DO BRASIL S.A.;00000000000191;BANCO DO BRASIL S.A.
56066;7460;28075258000176;252964;2025-03-10;2025-03-10;2025-03-10;Classes de Cotas de Fundos FIF;EMAC FIF INVESTIMENTO EM INFRAESTRUTURA CIC DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA;Em Funcionamento Normal;2025-03-10;Renda Fixa;DI de um dia;S;Renda Fixa Duração Livre Crédito Livre;;;N;N;Fechado;S;Profissional;18970285.41;2026-09-02;61562112000120;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;58160789000128;BANCO SAFRA S/A;58160789000128;BANCO SAFRA S/A
